Fault,Va,Vb,Vc,Ia,Ib,Ic
Healthy,510469.4962,247752.9239,-758222.4201,355.9649127,-446.8142066,90.84929397
Healthy,453545.8768,315585.8471,-769131.7239,383.5956784,-430.4207055,46.82502714
Healthy,392596.5488,380617.6084,-773214.1572,407.8211114,-410.2066935,2.385582103
Healthy,328162.5027,442270.9813,-770433.484,428.4261851,-386.3515917,-42.07459347
Healthy,260815.6598,499998.7261,-760814.3859,445.2280074,-359.0671395,-86.16086791
Healthy,191153.7953,553288.4472,-744442.2425,458.0774441,-328.5955157,-129.4819283
Healthy,119795.2328,601667.1413,-721462.3741,466.8604426,-295.2071887,-171.6532539
Healthy,47373.35612,644705.3957,-692078.7519,471.4990446,-259.1985155,-212.3005291
Healthy,-25469.01313,682021.1998,-656552.1867,471.9520774,-220.8891118,-251.0629656
Healthy,-98085.32091,713283.3359,-615198.015,468.2155199,-180.6190144,-287.5965055
Healthy,-169831.0197,738214.319,-568383.2993,460.322538,-138.7456637,-321.5768744
Healthy,-240069.2897,756592.86,-516523.5703,448.3431904,-95.64073037,-352.7024601
Healthy,-308176.691,768255.8297,-460079.1387,432.3838067,-51.68681695,-380.6969898
Healthy,-373548.6974,773099.7066,-399551.0092,412.5860434,-7.274061464,-405.311982
Healthy,-435605.0624,771081.4962,-335476.4338,389.125627,37.20332532,-426.3289523
Healthy,-493794.9693,762219.1123,-268424.143,362.2107937,81.35055898,-443.5613527
Healthy,-547601.9205,746591.2181,-198989.2976,332.0804415,124.7757855,-456.856227
Healthy,-596548.3215,724336.5277,-127788.2062,299.0020095,167.0935596,-466.0955691
Healthy,-640199.7207,695652.5755,-55452.85484,263.2691043,207.9282656,-471.19737
Healthy,-678168.6651,660793.9622,17374.70289,225.1988937,246.9174519,-472.1163455
Healthy,-710118.1397,620070.0954,90048.04438,185.1292915,283.7150475,-468.844339
Healthy,-735764.5588,573842.4429,161922.1159,143.4159583,317.9944346,-461.4103929
Healthy,-754880.2828,522521.3247,232358.9582,100.4291448,349.4513467,-449.8804915
Healthy,-767295.6393,466562.2706,300733.3687,56.55040477,377.8065702,-434.356975
Healthy,-772900.4287,406461.9772,366438.4515,12.16920915,402.808422,-414.9776312
Healthy,-771644.9024,342753.899,428891.0035,-32.32051145,424.234984,-391.9144725
